id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33390656,Charmant t1 bis à St Michel,13744306,Philippe,Bordeaux,Bordeaux Sud,44.83239,-0.56901,Entire home/apt,50,2,12,2019-08-29,2.73,1,0
33390988,Studio Zen Sobre Chic,21136740,Laurent,Bordeaux,Bordeaux Maritime,44.8596,-0.55867,Entire home/apt,60,2,9,2019-10-20,1.24,1,173
33391183,L4 BNB Confort Residence - Bordeaux-Chaban Delmas,129135089,Résidence BNB,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83081,-0.59587,Entire home/apt,50,1,22,2019-10-14,2.78,2,0
33392946,Lovely apartment (55 m2) in the heart of Bordeaux,251561312,Nancy Et Rash,Bordeaux,Bordeaux Sud,44.82938,-0.56485,Entire home/apt,85,2,27,2019-11-17,3.93,1,119
33412669,Le petit cocon bordelais proche du lac (terrasse),99524944,Densi,Bordeaux,Bordeaux Maritime,44.8764,-0.57251,Entire home/apt,55,1,10,2019-11-09,1.76,1,294
33419293,Studio 25m2 rénové pour 2 personnes,142421918,Laurence,Talence,Talence,44.80464,-0.59449,Entire home/apt,50,1,32,2019-08-30,4.02,2,0
33419977,La Marquise - Sévigné Charmante maison bas floirac à 5mn de Bordeaux,9394047,Virginie,Floirac,Floirac,44.82812,-0.53028,Entire home/apt,70,1,5,2019-08-24,0.68,1,0
33420060,Appartement T2 Peyberland - Bordeaux centre,25682584,Noa,Bordeaux,Centre ville (Bordeaux),44.83696,-0.5764,Entire home/apt,61,4,5,2019-08-18,1.07,1,0
33420203,"FUNCTIONAL AND MODERN STUDIO, IN CAUDERAN, BORDEAUX, FOR 2 PEOPLE",251752288,David,Bordeaux,Caudran,44.85712,-0.63466,Entire home/apt,49,2,1,2019-04-13,0.13,2,256
33420220,"VERY LUMINOUS AND FUNCTIONAL STUDIO IN CAUDERAN, BORDEAUX, FOR 2 PEOPLE",251752288,David,Bordeaux,Caudran,44.85649,-0.63351,Entire home/apt,45,2,1,2019-04-04,0.13,2,299
