,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone
197,5246408,15597557,Entire home/apt,1,56,18,75.6,4233.599999999999,3
198,5266024,27258862,Entire home/apt,1,200,29,121.8,24360.0,1
199,5279123,9400972,Entire home/apt,3+,100,10,42.0,4200.0,4
200,5285688,4973797,Private room,2,30,10,42.0,1260.0,5
201,5289160,7358394,Private room,1,50,16,67.19999999999999,3359.9999999999995,1
202,5361949,16634116,Private room,1,36,26,109.19999999999999,3931.2,4
203,5366049,27819645,Private room,1,24,9,37.8,907.1999999999999,1
204,5407864,28034848,Entire home/apt,1,50,42,176.39999999999998,8819.999999999998,2
205,5411109,16900168,Entire home/apt,2,110,70,256.0,28160.0,2
206,5413478,27258862,Entire home/apt,1,270,40,168.0,45360.0,2
207,5431691,28175530,Entire home/apt,1,80,58,243.6,19488.0,2
208,5451536,9008328,Private room,1,40,71,256.0,10240.0,2
209,5484825,28442798,Entire home/apt,2,69,13,54.599999999999994,3767.3999999999996,5
210,5492868,28484660,Entire home/apt,1,70,19,79.8,5586.0,6
211,5497254,28511099,Private room,1,35,25,105.0,3675.0,1
212,5501605,1895672,Entire home/apt,2,70,15,62.99999999999999,4409.999999999999,3
213,5514719,28604639,Entire home/apt,2,68,12,50.4,3427.2,2
214,5535324,7816835,Entire home/apt,2,135,81,256.0,34560.0,1
215,5541162,28733953,Entire home/apt,Studio,80,8,33.599999999999994,2687.9999999999995,2
216,5541670,19194298,Private room,1,30,9,37.8,1134.0,1
217,5563329,6642737,Private room,1,52,12,50.4,2620.7999999999997,6
218,5583634,11047267,Entire home/apt,3+,145,13,54.599999999999994,7916.999999999999,5
219,5615011,16434447,Private room,1,25,7,29.4,735.0,6
220,5635855,26344474,Entire home/apt,1,72,70,256.0,18432.0,1
221,5654422,29147218,Entire home/apt,2,140,11,46.199999999999996,6467.999999999999,2
222,5656541,29318237,Entire home/apt,2,70,39,163.79999999999998,11465.999999999998,2
223,5667279,24211012,Private room,1,39,22,92.39999999999999,3603.5999999999995,6
224,5678939,29443702,Entire home/apt,1,68,19,79.8,5426.4,1
225,5695944,22198122,Private room,1,30,15,62.99999999999999,1889.9999999999998,1
226,5721999,18056052,Entire home/apt,1,50,8,33.599999999999994,1679.9999999999998,2
