,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone,latitude,longitude,geometry
68,1926172,1029070,Entire home/apt,Studio,48,73,256,12288,2,44.83365,-0.5744,POINT (-0.5744 44.83365)
69,1997144,10291316,Entire home/apt,1,65,37,222,14430,2,44.85354,-0.5687399999999999,POINT (-0.5687399999999999 44.85354)
70,2029668,10423832,Entire home/apt,2,90,13,78,7020,5,44.825379999999996,-0.58916,POINT (-0.58916 44.82538)
71,2111744,4822238,Entire home/apt,1,68,17,102,6936,1,44.84055,-0.57216,POINT (-0.57216 44.84055)
72,2118428,10798726,Entire home/apt,3+,280,16,96,26880,3,44.85152,-0.57363,POINT (-0.57363 44.85152)
73,2133988,10888994,Entire home/apt,1,120,9,54,6480,1,44.84698,-0.5728800000000001,POINT (-0.5728800000000001 44.84698)
74,2144094,10943963,Entire home/apt,1,76,31,186,14136,1,44.84388,-0.55099,POINT (-0.55099 44.84388)
75,2157691,4178213,Private room,1,99,46,256,25344,3,44.79377,-0.70516,POINT (-0.70516 44.79377)
76,2184032,11138696,Entire home/apt,2,70,45,256,17920,3,44.83211,-0.56906,POINT (-0.56906 44.83211)
77,2225756,7721469,Entire home/apt,3+,250,30,180,45000,1,44.845079999999996,-0.59512,POINT (-0.59512 44.84508)
78,2231377,9477089,Private room,1,50,29,174,8700,3,44.83665,-0.59446,POINT (-0.59446 44.83665)
79,2248994,4057188,Private room,1,55,87,256,14080,4,44.82918,-0.59955,POINT (-0.59955 44.82918)
80,2273201,11605863,Entire home/apt,Studio,35,11,66,2310,2,44.83358,-0.5836600000000001,POINT (-0.5836600000000001 44.83358)
81,2285698,11138696,Entire home/apt,2,62,12,72,4464,3,44.83213,-0.5687399999999999,POINT (-0.5687399999999999 44.83213)
82,2384060,7896753,Private room,1,40,15,90,3600,5,44.815540000000006,-0.5515800000000001,POINT (-0.5515800000000001 44.81554000000001)
83,2402008,9116145,Private room,1,25,41,246,6150,3,44.84166,-0.55886,POINT (-0.55886 44.84166)
84,2517422,12888245,Entire home/apt,3+,200,18,108,21600,1,44.82478,-0.5897,POINT (-0.5897 44.82478)
85,2519743,3170753,Entire home/apt,1,80,8,48,3840,1,44.85195,-0.57214,POINT (-0.57214 44.85195)
86,2522837,12917011,Entire home/apt,1,89,63,256,22784,1,44.83791,-0.57125,POINT (-0.57125 44.83791)
87,2525201,12929499,Entire home/apt,1,65,15,90,5850,2,44.825829999999996,-0.5697800000000001,POINT (-0.5697800000000001 44.82583)
88,2530568,12540790,Entire home/apt,1,59,9,54,3186,5,44.852129999999995,-0.53699,POINT (-0.53699 44.85213)
89,2545132,1842076,Private room,1,38,57,256,9728,2,44.83321,-0.56955,POINT (-0.56955 44.83321)
90,2571484,11749918,Entire home/apt,2,110,9,54,5940,3,44.85817,-0.561,POINT (-0.5610000000000001 44.85817)
91,2595648,8495128,Private room,1,45,46,256,11520,2,44.82155,-0.5656100000000001,POINT (-0.5656100000000001 44.82155)
92,2598374,2223054,Entire home/apt,1,70,19,114,7980,2,44.84209,-0.58581,POINT (-0.5858100000000001 44.84209)
93,2604928,11534444,Entire home/apt,1,90,30,180,16200,2,44.83688,-0.56835,POINT (-0.56835 44.83688)
94,2618732,13410998,Entire home/apt,1,70,11,66,4620,1,44.84463,-0.5751,POINT (-0.5750999999999999 44.84463)
95,2679324,5197927,Private room,1,28,19,114,3192,3,44.85955,-0.5583600000000001,POINT (-0.5583600000000001 44.85955)
96,2750593,8495128,Private room,1,45,11,66,2970,2,44.821329999999996,-0.5637800000000001,POINT (-0.5637800000000001 44.82133)
97,2757359,5197927,Entire home/apt,2,52,23,138,7176,3,44.861309999999996,-0.55701,POINT (-0.55701 44.86131)
98,2758236,14108597,Entire home/apt,3+,150,51,256,38400,1,44.85137,-0.5738800000000001,POINT (-0.5738800000000001 44.85137)
99,2772856,1006407,Entire home/apt,2,105,9,54,5670,4,44.854490000000006,-0.59702,POINT (-0.59702 44.85449000000001)
100,2808332,14364378,Entire home/apt,2,130,13,78,10140,2,44.8365,-0.57118,POINT (-0.57118 44.8365)
101,2808914,8213752,Entire home/apt,Studio,60,42,252,15120,1,44.838229999999996,-0.56797,POINT (-0.56797 44.83823)
102,2828045,14467875,Entire home/apt,1,57,18,108,6156,1,44.84302,-0.58506,POINT (-0.58506 44.84302)
103,2833908,14497051,Private room,1,45,37,222,9990,3,44.82282,-0.61393,POINT (-0.61393 44.82282)
104,2877449,7109418,Entire home/apt,1,48,24,144,6912,5,44.82415,-0.57531,POINT (-0.57531 44.82415)
105,2906810,14850260,Entire home/apt,2,80,8,48,3840,5,44.8887,-0.65056,POINT (-0.65056 44.8887)
106,2930433,14964488,Entire home/apt,2,95,7,42,3990,3,44.84132,-0.55862,POINT (-0.55862 44.84132)
107,2939002,15006388,Entire home/apt,3+,150,21,126,18900,1,44.8381,-0.57494,POINT (-0.57494 44.8381)
108,2944617,15034132,Entire home/apt,2,75,26,156,11700,5,44.81915,-0.5428,POINT (-0.5427999999999999 44.81915)
109,2957921,2969965,Entire home/apt,Studio,32,7,42,1344,1,44.85183,-0.6003,POINT (-0.6002999999999999 44.85183)
110,2990053,15247892,Entire home/apt,2,124,17,102,12648,1,44.83941,-0.57996,POINT (-0.57996 44.83941)
111,2992590,15257999,Entire home/apt,3+,89,35,210,18690,6,44.77365,-0.53303,POINT (-0.53303 44.77365)
112,2995692,9008328,Entire home/apt,2,110,17,102,11220,2,44.836290000000005,-0.5663699999999999,POINT (-0.5663699999999999 44.83629000000001)
113,3008158,11683637,Entire home/apt,1,55,69,256,14080,3,44.833859999999994,-0.57047,POINT (-0.57047 44.83385999999999)
114,3048689,15130444,Entire home/apt,2,85,9,54,4590,1,44.8463,-0.5958,POINT (-0.5958 44.8463)
115,3100199,15763549,Entire home/apt,1,70,23,138,9660,5,44.839420000000004,-0.55477,POINT (-0.55477 44.83942)
116,3113973,9312848,Entire home/apt,1,83,33,198,16434,1,44.83935,-0.5784600000000001,POINT (-0.5784600000000001 44.83935)
117,3152942,7519158,Entire home/apt,1,75,31,186,13950,1,44.817170000000004,-0.5756600000000001,POINT (-0.5756600000000001 44.81717)
118,3156633,16017431,Entire home/apt,3+,180,39,234,42120,5,44.944340000000004,-0.61035,POINT (-0.6103499999999999 44.94434)
119,3163748,16048378,Entire home/apt,1,49,73,256,12544,4,44.833259999999996,-0.55993,POINT (-0.55993 44.83326)
